target_id	length	eff_length	est_counts	tpm
CDS_defensin_g1_i1	225	86.9162	0	0
CDS_defensin_g1_i2	225	86.9162	0	0
CDS_defensin_g2	225	86.9162	0	0
CDS_defensin_g3	225	86.9162	164.166	322.08
CDS_defensin_g4	225	86.9162	0	0
CDS_defensin_g5	225	86.9162	164.166	322.08
CDS_defensin_g6	225	86.9162	17.1613	33.6689
CDS_defensin_g7	225	86.9162	0	0
CDS_defensin_g8	225	86.9162	0	0
CDS_defensin_g9	216	79.9692	19	40.5146
CDS_defensin_g10	216	79.9692	13.5794	28.956
CDS_defensin_g11	246	103.923	12	19.6902
CDS_defensin_g12	246	103.923	0	0
CDS_defensin_g13	228	89.3015	0.5	0.954755
CDS_defensin_g14	228	89.3015	0.5	0.954755
CDS_defensin_g15	192	62.2871	59.0183	161.573
CDS_defensin_g16_i1	192	62.2871	454.973	1245.57
CDS_defensin_g16_i2	192	62.2871	454.973	1245.57
CDS_termicin_g1	195	64.4504	0	0
CDS_termicin_g2	195	64.4504	0	0
CDS_termicin_g3	195	64.4504	0	0
CDS_drosomycin_g1	201	68.7759	0	0
CDS_drosomycin_g2	201	68.7759	0	0
CDS_drosomycin_g3	201	68.7759	2.88171	7.14488
CDS_drosomycin_g4	201	68.7759	0	0
CDS_drosomycin_g5	201	68.7759	53.4843	132.608
CDS_drosomycin_g6	216	79.9692	2	4.2647
CDS_drosomycin_g7	201	68.7759	0	0
CDS_drosomycin_g8	201	68.7759	0	0
CDS_drosomycin_g9	201	68.7759	0	0
CDS_drosomycin_g10	201	68.7759	0	0
CDS_drosomycin_g11	201	68.7759	0	0
CDS_drosomycin_g12	201	68.7759	0	0
CDS_drosomycin_g13	201	68.7759	0	0
CDS_Attacin-like_g1	357	204.067	0	0
CDS_Attacin-like_g2	360	206.972	5	4.11946
CDS_Attacin-like_g3A	357	204.067	0	0
CDS_Attacin-like_g3B	357	204.067	0	0
CDS_blattellicin_g1	762	606.26	0	0
CDS_blattellicin_g2	729	573.26	0	0
CDS_blattellicin_g3	804	648.26	0	0
CDS_blattellicin_g4	738	582.26	0	0
BgeEVm000003t7	66787	66631.2	2855.97	7.30898
BgeEVm000006t3	30440	30284.2	0	0
BgeEVm000001t1	39609	39453.2	174.073	0.752367
BgeEVm001108t1	29764	29608.2	107.763	0.620637
BgeEVm009445t5	23941	23785.2	562.547	4.03304
BgeEVm000008t1	23753	23597.2	138.358	0.999825
BgeEVm014930t1	7194	7038.22	37.0769	0.898299
BgeEVm013440t1	21719	21563.2	387.968	3.06805
BgeEVm011349t1	924	768.222	4	0.88788
BgeEVm000141t1	21395	21239.2	30.7922	0.247219
