target_id	length	eff_length	est_counts	tpm
CDS_defensin_g1_i1	225	84.3714	0	0
CDS_defensin_g1_i2	225	84.3714	0	0
CDS_defensin_g2	225	84.3714	0	0
CDS_defensin_g3	225	84.3714	62.2415	153.577
CDS_defensin_g4	225	84.3714	0	0
CDS_defensin_g5	225	84.3714	62.2415	153.577
CDS_defensin_g6	225	84.3714	11.1465	27.5033
CDS_defensin_g7	225	84.3714	0	0
CDS_defensin_g8	225	84.3714	0	0
CDS_defensin_g9	216	77.3331	3	8.07604
CDS_defensin_g10	216	77.3331	11.5527	31.1001
CDS_defensin_g11	246	101.472	2	4.10324
CDS_defensin_g12	246	101.472	0	0
CDS_defensin_g13	228	86.7716	1	2.39919
CDS_defensin_g14	228	86.7716	1	2.39919
CDS_defensin_g15	192	59.7983	10.8306	37.7055
CDS_defensin_g16_i1	192	59.7983	130.8	455.367
CDS_defensin_g16_i2	192	59.7983	130.8	455.367
CDS_termicin_g1	195	61.8941	0	0
CDS_termicin_g2	195	61.8941	0	0
CDS_termicin_g3	195	61.8941	0	0
CDS_drosomycin_g1	201	66.2736	0	0
CDS_drosomycin_g2	201	66.2736	0	0
CDS_drosomycin_g3	201	66.2736	0	0
CDS_drosomycin_g4	201	66.2736	0	0
CDS_drosomycin_g5	201	66.2736	14.464	45.435
CDS_drosomycin_g6	216	77.3331	0	0
CDS_drosomycin_g7	201	66.2736	0	0
CDS_drosomycin_g8	201	66.2736	0	0
CDS_drosomycin_g9	201	66.2736	0	0
CDS_drosomycin_g10	201	66.2736	0	0
CDS_drosomycin_g11	201	66.2736	0	0
CDS_drosomycin_g12	201	66.2736	0	0
CDS_drosomycin_g13	201	66.2736	0	0
CDS_Attacin-like_g1	357	202.96	0	0
CDS_Attacin-like_g2	360	205.901	2	2.02216
CDS_Attacin-like_g3A	357	202.96	0	0
CDS_Attacin-like_g3B	357	202.96	0	0
CDS_blattellicin_g1	762	605.744	0	0
CDS_blattellicin_g2	729	572.744	0	0
CDS_blattellicin_g3	804	647.744	0	0
CDS_blattellicin_g4	738	581.744	0	0
BgeEVm000003t7	66787	66630.7	14731.1	46.026
BgeEVm000006t3	30440	30283.7	0	0
BgeEVm000001t1	39609	39452.7	248.453	1.31102
BgeEVm001108t1	29764	29607.7	153.375	1.07843
BgeEVm009445t5	23941	23784.7	636.409	5.57032
BgeEVm000008t1	23753	23596.7	170.369	1.50307
BgeEVm014930t1	7194	7037.74	37.3779	1.10567
BgeEVm013440t1	21719	21562.7	621.757	6.00287
BgeEVm011349t1	924	767.744	0	0
BgeEVm000141t1	21395	21238.7	88.2239	0.864769
BgeEVm000020t2	21361	21204.7	268.674	2.63776
BgeEVm000256t1	12477	12320.7	108.022	1.82524
BgeEVm013154t1	21231	21074.7	641.42	6.33611
BgeEVm000014t1	21222	21065.7	1339.41	13.2367
BgeEVm000014t8	5174	5017.74	512.284	21.2542
BgeEVm015310t1	1334	1177.74	21.6293	3.82326
BgeEVm000010t1	20434	20277.7	70.5089	0.723881
BgeEVm021059t1	7906	7749.74	23.8982	0.641978
BgeEVm002177t1	18997	18840.7	377.046	4.16619
BgeEVm018363t1	18387	18230.7	42.5419	0.485797
BgeEVm019786t1	18386	18229.7	41.3866	0.47263
BgeEVm021991t1	8588	8431.74	57.0179	1.40779
BgeEVm022327t1	18225	18068.7	245.125	2.82424
BgeEVm000015t3	17898	17741.7	160.187	1.87963
BgeEVm000037t1	17506	17349.7	72.2062	0.866411
BgeEVm000087t4	17342	17185.7	66.3955	0.80429
BgeEVm000132t1	17276	17119.7	186.533	2.2683
BgeEVm019419t1	5455	5298.74	82.946	3.25886
BgeEVm020924t1	2297	2140.74	19.8552	1.93087
BgeEVm015615t1	10621	10464.7	72.0084	1.43251
BgeEVm008727t1	11614	11457.7	64.8715	1.17868
BgeEVm000115t1	16595	16438.7	70	0.886486
BgeEVm002379t3	16550	16393.7	443.786	5.63557
BgeEVm000566t1	9732	9575.74	29.3207	0.637448
BgeEVm000979t1	16130	15973.7	104.88	1.36688
BgeEVm001027t1	4104	3947.74	14.0799	0.742496
BgeEVm000021t1	15963	15806.7	52.047	0.685482
BgeEVm016632t1	1293	1136.74	4	0.732555
BgeEVm005794t1	15925	15768.7	301.52	3.98071
BgeEVm001454t3	15797	15640.7	111.805	1.48814
BgeEVm000778t1	15741	15584.7	1913.64	25.5624
BgeEVm000833t1	15719	15562.7	97.8681	1.30917
BgeEVm010802t1	1266	1109.74	12.0212	2.25512
BgeEVm003239t1	15699	15542.7	96.6039	1.29393
BgeEVm000144t1	15602	15445.7	166.955	2.25026
BgeEVm000552t4	15468	15311.7	80.8494	1.09925
BgeEVm018454t1	6241	6084.74	70.5338	2.41322
BgeEVm022284t1	15112	14955.7	815.977	11.3583
BgeEVm001519t1	14989	14832.7	50.7569	0.712387
BgeEVm001519t10	11655	11498.7	367.415	6.65196
BgeEVm021024t1	4634	4477.74	17.5257	0.814816
BgeEVm000067t1	14966	14809.7	22.9076	0.322014
