target_id	length	eff_length	est_counts	tpm
CDS_defensin_g1_i1	225	87.1466	0	0
CDS_defensin_g1_i2	225	87.1466	0	0
CDS_defensin_g2	225	87.1466	0	0
CDS_defensin_g3	225	87.1466	42.4024	147.376
CDS_defensin_g4	225	87.1466	0	0
CDS_defensin_g5	225	87.1466	42.4024	147.376
CDS_defensin_g6	225	87.1466	4.05302	14.0869
CDS_defensin_g7	225	87.1466	0	0
CDS_defensin_g8	225	87.1466	0	0
CDS_defensin_g9	216	80.174	5	18.8897
CDS_defensin_g10	216	80.174	3.2204	12.1665
CDS_defensin_g11	246	104.262	6	17.4306
CDS_defensin_g12	246	104.262	0	0
CDS_defensin_g13	228	89.5643	1	3.38184
CDS_defensin_g14	228	89.5643	0	0
CDS_defensin_g15	192	62.2415	15.0164	73.0755
CDS_defensin_g16_i1	192	62.2415	111.53	542.748
CDS_defensin_g16_i2	192	62.2415	111.53	542.748
CDS_termicin_g1	195	64.3518	0	0
CDS_termicin_g2	195	64.3518	0	0
CDS_termicin_g3	195	64.3518	0	0
CDS_drosomycin_g1	201	68.8129	0	0
CDS_drosomycin_g2	201	68.8129	0	0
CDS_drosomycin_g3	201	68.8129	0	0
CDS_drosomycin_g4	201	68.8129	0	0
CDS_drosomycin_g5	201	68.8129	60.562	266.574
CDS_drosomycin_g6	216	80.174	1	3.77793
CDS_drosomycin_g7	201	68.8129	0	0
CDS_drosomycin_g8	201	68.8129	0	0
CDS_drosomycin_g9	201	68.8129	0	0
CDS_drosomycin_g10	201	68.8129	0	0
CDS_drosomycin_g11	201	68.8129	0	0
CDS_drosomycin_g12	201	68.8129	0	0
CDS_drosomycin_g13	201	68.8129	0	0
CDS_Attacin-like_g1	357	205.713	0	0
CDS_Attacin-like_g2	360	208.613	10	14.5193
CDS_Attacin-like_g3A	357	205.713	0	0
CDS_Attacin-like_g3B	357	205.713	0	0
CDS_blattellicin_g1	762	608.787	0	0
CDS_blattellicin_g2	729	575.787	0	0
CDS_blattellicin_g3	804	650.787	0	0
CDS_blattellicin_g4	738	584.787	0	0
BgeEVm000003t7	66787	66633.8	2498.46	11.357
BgeEVm000006t3	30440	30286.8	12.265	0.12266
BgeEVm000001t1	39609	39455.8	122.505	0.940438
BgeEVm001108t1	29764	29610.8	71.6261	0.732671
BgeEVm009445t5	23941	23787.8	390.635	4.97399
BgeEVm000008t1	23753	23599.8	79.1753	1.01618
BgeEVm014930t1	7194	7040.77	13.489	0.580293
BgeEVm013440t1	21719	21565.8	182.867	2.56836
BgeEVm011349t1	924	770.787	6	2.35778
BgeEVm000141t1	21395	21241.8	27.6406	0.394134
BgeEVm000020t2	21361	21207.8	197.325	2.81822
BgeEVm000256t1	12477	12323.8	55.3747	1.36099
BgeEVm013154t1	21231	21077.8	368.667	5.29781
BgeEVm000014t1	21222	21068.8	674.727	9.7001
BgeEVm000014t8	5174	5020.77	200.056	12.0689
BgeEVm015310t1	1334	1180.77	12.9316	3.31721
BgeEVm000010t1	20434	20280.8	130.653	1.9513
BgeEVm021059t1	7906	7752.77	12.046	0.470623
BgeEVm002177t1	18997	18843.8	223.628	3.59457
BgeEVm018363t1	18387	18233.8	17.8395	0.296343
BgeEVm019786t1	18386	18232.8	28.2095	0.46863
BgeEVm021991t1	8588	8434.77	46.8056	1.68078
BgeEVm022327t1	18225	18071.8	99.2517	1.66351
BgeEVm000015t3	17898	17744.8	131.096	2.23772
BgeEVm000037t1	17506	17352.8	48.0048	0.837922
BgeEVm000087t4	17342	17188.8	32.6545	0.575421
BgeEVm000132t1	17276	17122.8	95.962	1.69751
BgeEVm019419t1	5455	5301.77	18.322	1.04674
BgeEVm020924t1	2297	2143.77	5.72847	0.809371
BgeEVm015615t1	10621	10467.8	52.944	1.53197
BgeEVm008727t1	11614	11460.8	51.8746	1.37097
BgeEVm000115t1	16595	16441.8	27	0.497396
BgeEVm002379t3	16550	16396.8	425.207	7.8547
BgeEVm000566t1	9732	9578.77	27	0.853771
BgeEVm000979t1	16130	15976.8	40.3703	0.76535
BgeEVm001027t1	4104	3950.77	5.01715	0.384647
BgeEVm000021t1	15963	15809.8	26.9974	0.517231
BgeEVm016632t1	1293	1139.77	3	0.797243
BgeEVm005794t1	15925	15771.8	144.215	2.76961
BgeEVm001454t3	15797	15643.8	96.3448	1.86541
BgeEVm000778t1	15741	15587.8	1063.68	20.6688
BgeEVm000833t1	15719	15565.8	80.7433	1.57117
BgeEVm010802t1	1266	1112.77	5.22779	1.42298
BgeEVm003239t1	15699	15545.8	61.7725	1.20357
BgeEVm000144t1	15602	15448.8	74.2541	1.45584
BgeEVm000552t4	15468	15314.8	41.1465	0.813785
BgeEVm018454t1	6241	6087.77	37.2228	1.85199
BgeEVm022284t1	15112	14958.8	496.039	10.044
BgeEVm001519t1	14989	14835.8	47.3135	0.965967
BgeEVm001519t10	11655	11501.8	243.655	6.4165
BgeEVm021024t1	4634	4480.77	12.5111	0.845724
BgeEVm000067t1	14966	14812.8	40.8741	0.835794
BgeEVm018437t1	4926	4772.77	1	0.0634625
BgeEVm020667t1	8668	8514.77	64.2966	2.28719
BgeEVm004367t1	14681	14527.8	102.301	2.13289
BgeEVm017696t1	6411	6257.77	11.8251	0.572365
BgeEVm015619t2	14625	14471.8	130.614	2.73373
BgeEVm014492t1	6179	6025.77	6.7918	0.341397
BgeEVm000058t4	14489	14335.8	0	0
BgeEVm022286t1	14478	14324.8	21.7982	0.460914
BgeEVm000152t1	14403	14249.8	83.9586	1.78462
BgeEVm001107t1	14300	14146.8	118.567	2.53861
BgeEVm015476t1	14267	14113.8	506.336	10.8663
BgeEVm014379t1	4535	4381.77	87.6339	6.05773
BgeEVm006659t1	14152	13998.8	191.367	4.14062
BgeEVm000215t4	14097	13943.8	93.0735	2.02178
BgeEVm010439t1	13961	13807.8	250.639	5.4981
BgeEVm009300t1	1386	1232.77	29.9039	7.34738
BgeEVm003016t1	4201	4047.77	0	0
BgeEVm015747t1	7488	7334.77	195.908	8.09009
BgeEVm018198t1	4111	3957.77	14.4171	1.10335
BgeEVm008758t1	8778	8624.77	0	0
BgeEVm002147t1	13572	13418.8	22.5321	0.508599
BgeEVm020683t1	1284	1130.77	1.81221	0.485424
