target_id	length	eff_length	est_counts	tpm
CDS_defensin_g1_i1	225	83.4292	1	6.06329
CDS_defensin_g1_i2	225	83.4292	1	6.06329
CDS_defensin_g2	225	83.4292	2	12.1266
CDS_defensin_g3	225	83.4292	0	0
CDS_defensin_g4	225	83.4292	0	0
CDS_defensin_g5	225	83.4292	0	0
CDS_defensin_g6	225	83.4292	0	0
CDS_defensin_g7	225	83.4292	0	0
CDS_defensin_g8	225	83.4292	1	6.06329
CDS_defensin_g9	216	76.4401	14	92.6473
CDS_defensin_g10	216	76.4401	10.666	70.5843
CDS_defensin_g11	246	100.551	7	35.2159
CDS_defensin_g12	246	100.551	0	0
CDS_defensin_g13	228	85.7768	0	0
CDS_defensin_g14	228	85.7768	0	0
CDS_defensin_g15	192	58.9132	0	0
CDS_defensin_g16_i1	192	58.9132	0	0
CDS_defensin_g16_i2	192	58.9132	0	0
CDS_termicin_g1	195	60.9691	0	0
CDS_termicin_g2	195	60.9691	0	0
CDS_termicin_g3	195	60.9691	0	0
CDS_drosomycin_g1	201	65.1591	0	0
CDS_drosomycin_g2	201	65.1591	1	7.76338
CDS_drosomycin_g3	201	65.1591	0	0
CDS_drosomycin_g4	201	65.1591	0	0
CDS_drosomycin_g5	201	65.1591	76.5048	593.936
CDS_drosomycin_g6	216	76.4401	0	0
CDS_drosomycin_g7	201	65.1591	0	0
CDS_drosomycin_g8	201	65.1591	0	0
CDS_drosomycin_g9	201	65.1591	0	0
CDS_drosomycin_g10	201	65.1591	0	0
CDS_drosomycin_g11	201	65.1591	0	0
CDS_drosomycin_g12	201	65.1591	0	0
CDS_drosomycin_g13	201	65.1591	0	0
CDS_Attacin-like_g1	357	202.595	0	0
CDS_Attacin-like_g2	360	205.542	0	0
CDS_Attacin-like_g3A	357	202.595	0	0
CDS_Attacin-like_g3B	357	202.595	0	0
CDS_blattellicin_g1	762	606.454	0	0
CDS_blattellicin_g2	729	573.454	0	0
CDS_blattellicin_g3	804	648.454	0	0
CDS_blattellicin_g4	738	582.454	0	0
BgeEVm000003t7	66787	66631.5	100.888	0.765924
BgeEVm000006t3	30440	30284.5	0	0
BgeEVm000001t1	39609	39453.5	0	0
BgeEVm001108t1	29764	29608.5	27.4368	0.468752
BgeEVm009445t5	23941	23785.5	76.8839	1.63512
BgeEVm000008t1	23753	23597.5	50.8903	1.09093
BgeEVm014930t1	7194	7038.45	5.45718	0.392208
BgeEVm013440t1	21719	21563.5	46.2725	1.0855
BgeEVm011349t1	924	768.454	0	0
BgeEVm000141t1	21395	21239.5	12.4425	0.29634
BgeEVm000020t2	21361	21205.5	42.1366	1.00517
BgeEVm000256t1	12477	12321.5	4.67566	0.191958
BgeEVm013154t1	21231	21075.5	41.7563	1.00224
BgeEVm000014t1	21222	21066.5	20.3908	0.489632
BgeEVm000014t8	5174	5018.45	1.22078e-08	1.23053e-09
BgeEVm015310t1	1334	1178.45	13.6547	5.86133
BgeEVm000010t1	20434	20278.5	0	0
BgeEVm021059t1	7906	7750.45	18.9592	1.23743
BgeEVm002177t1	18997	18841.5	39.4459	1.05904
BgeEVm018363t1	18387	18231.5	7.39355	0.205143
BgeEVm019786t1	18386	18230.5	50.5309	1.40212
BgeEVm021991t1	8588	8432.45	20.5666	1.23377
BgeEVm022327t1	18225	18069.5	51.1655	1.43238
BgeEVm000015t3	17898	17742.5	0.00695317	0.000198242
BgeEVm000037t1	17506	17350.5	9.38595	0.273649
BgeEVm000087t4	17342	17186.5	6.38077	0.187807
BgeEVm000132t1	17276	17120.5	40.0829	1.18432
BgeEVm019419t1	5455	5299.45	78.0142	7.44678
BgeEVm020924t1	2297	2141.45	0	0
BgeEVm015615t1	10621	10465.5	22.0528	1.06594
BgeEVm008727t1	11614	11458.5	4.44205	0.196103
BgeEVm000115t1	16595	16439.5	36	1.10775
BgeEVm002379t3	16550	16394.5	42.2065	1.30229
BgeEVm000566t1	9732	9576.45	9	0.475405
BgeEVm000979t1	16130	15974.5	7.09503	0.224675
BgeEVm001027t1	4104	3948.45	0	0
BgeEVm000021t1	15963	15807.5	16.1713	0.517499
BgeEVm016632t1	1293	1137.45	2	0.889451
BgeEVm005794t1	15925	15769.5	20.2449	0.649419
BgeEVm001454t3	15797	15641.5	9.63914	0.311736
BgeEVm000778t1	15741	15585.5	174.472	5.6628
BgeEVm000833t1	15719	15563.5	71.955	2.33874
BgeEVm010802t1	1266	1110.45	5.866	2.67219
BgeEVm003239t1	15699	15543.5	34.4528	1.12125
BgeEVm000144t1	15602	15446.5	11.7684	0.385404
BgeEVm000552t4	15468	15312.5	31.0306	1.02511
BgeEVm018454t1	6241	6085.45	9.1725	0.762466
BgeEVm022284t1	15112	14956.5	68.7449	2.32508
BgeEVm001519t1	14989	14833.5	10.2725	0.350315
BgeEVm001519t10	11655	11499.5	2.677	0.11776
BgeEVm021024t1	4634	4478.45	1.19271	0.13472
BgeEVm000067t1	14966	14810.5	0	0
BgeEVm018437t1	4926	4770.45	3	0.318117
BgeEVm020667t1	8668	8512.45	36.8985	2.1927
BgeEVm004367t1	14681	14525.5	36.3078	1.26444
BgeEVm017696t1	6411	6255.45	43.8303	3.54439
BgeEVm015619t2	14625	14469.5	19.636	0.686479
BgeEVm014492t1	6179	6023.45	0	0
BgeEVm000058t4	14489	14333.5	22.2707	0.785975
BgeEVm022286t1	14478	14322.5	46.8215	1.65369
BgeEVm000152t1	14403	14247.5	1.22541	0.0435082
BgeEVm001107t1	14300	14144.5	11	0.393398
BgeEVm015476t1	14267	14111.5	29.777	1.06742
BgeEVm014379t1	4535	4379.45	38.0315	4.39288
BgeEVm006659t1	14152	13996.5	51.0037	1.84336
BgeEVm000215t4	14097	13941.5	0	0
BgeEVm010439t1	13961	13805.5	35.4679	1.2996
BgeEVm009300t1	1386	1230.45	8.0859	3.32421
BgeEVm003016t1	4201	4045.45	0	0
BgeEVm015747t1	7488	7332.45	2.24524	0.154895
BgeEVm018198t1	4111	3955.45	8.74042	1.11779
BgeEVm008758t1	8778	8622.45	4.60158	0.269961
BgeEVm002147t1	13572	13416.5	25.8137	0.973282
BgeEVm020683t1	1284	1128.45	0	0
BgeEVm008603t1	13517	13361.5	8.28043	0.313491
BgeEVm016041t1	7788	7632.45	4.70065	0.311544
BgeEVm014577t1	7651	7495.45	5.36946	0.362376
BgeEVm008334t1	5452	5296.45	4	0.382033
BgeEVm005338t1	13446	13290.5	182.508	6.94654
BgeEVm001349t3	13403	13247.5	20.5476	0.78461
BgeEVm015475t1	13321	13165.5	12.3198	0.473363
BgeEVm001923t1	13314	13158.5	106.213	4.0832
BgeEVm018761t3	9403	9247.45	0	0
BgeEVm026365t1	13288	13132.5	44.3495	1.70832
BgeEVm014291t1	13247	13091.5	46.6615	1.80301
BgeEVm000781t1	13153	12997.5	115.844	4.5086
BgeEVm014938t1	13149	12993.5	21.3497	0.831177
BgeEVm009658t1	7109	6953.45	16	1.16398
BgeEVm007685t3	13028	12872.5	16.8502	0.662171
BgeEVm003005t1	12987	12831.5	17.0973	0.674026
BgeEVm005482t1	12984	12828.5	7.9577	0.31379
BgeEVm000043t1	12972	12816.5	132.477	5.22877
BgeEVm018405t1	378	223.116	0	0
BgeEVm018236t1	9892	9736.45	6.26043	0.325259
BgeEVm004582t4	12892	12736.5	6.08498	0.241678
BgeEVm000094t1	12880	12724.5	4	0.159018
BgeEVm000054t1	12866	12710.5	1	0.0397983
BgeEVm019282t1	7985	7829.45	67.317	4.3493
BgeEVm000193t1	12814	12658.5	29.7129	1.18738
BgeEVm008726t1	12735	12579.5	58.4688	2.35119
BgeEVm004731t1	12693	12537.5	12.9963	0.52437
BgeEVm001080t5	12652	12496.5	5.87496	0.237818
BgeEVm006310t1	12584	12428.5	96.4096	3.924
BgeEVm019185t1	3177	3021.45	6.82171	1.1421
BgeEVm005680t1	1970	1814.45	4.35072	1.21294
BgeEVm000040t1	12532	12376.5	12.0838	0.493892
BgeEVm007853t1	12519	12363.5	5.17008	0.211536
BgeEVm003829t1	12517	12361.5	87.6836	3.58819
BgeEVm000693t1	12436	12280.5	8.81455	0.363088
BgeEVm000292t1	12386	12230.5	54.8811	2.2699
BgeEVm018774t1	12384	12228.5	23.7989	0.984492
BgeEVm022546t1	12348	12192.5	13.0383	0.540948
BgeEVm000062t1	12297	12141.5	14	0.583288
BgeEVm001860t1	12290	12134.5	17.1858	0.716433
BgeEVm008999t1	1770	1614.45	0.731623	0.229238
BgeEVm000073t1	12196	12040.5	34.0391	1.43009
BgeEVm021152t1	3198	3042.45	0	0
BgeEVm021007t1	4386	4230.45	10	1.19575
BgeEVm019890t1	8950	8794.45	21.7221	1.24945
BgeEVm000274t1	12003	11847.5	246.404	10.5208
BgeEVm009905t1	11956	11800.5	32.7814	1.40525
BgeEVm000069t1	11936	11780.5	233.706	10.0354
BgeEVm021746t1	9163	9007.45	18.8429	1.05821
BgeEVm017496t1	8214	8058.45	33.6996	2.11543
BgeEVm004974t1	8567	8411.45	40.2954	2.42332
BgeEVm000057t1	11850	11694.5	21	0.908375
BgeEVm015095t1	11805	11649.5	11.0091	0.478047
BgeEVm020447t1	7969	7813.45	58.0162	3.75606
BgeEVm022225t1	6900	6744.45	17.9842	1.34887
BgeEVm018650t1	2817	2661.45	2	0.380134
BgeEVm017886t1	5235	5079.45	66.6032	6.63291
BgeEVm000070t1	11671	11515.5	2.93313	0.128847
BgeEVm000051t1	11665	11509.5	1.15584	0.0508006
BgeEVm001638t1	11639	11483.5	6	0.264305
BgeEVm000167t1	11607	11451.5	28.2853	1.24947
BgeEVm005459t1	11577	11421.5	26.9725	1.19461
BgeEVm005979t5	11547	11391.5	6.29798	0.279672
BgeEVm021512t1	7365	7209.45	0	0
BgeEVm004258t3	11535	11379.5	2.49152	0.110757
BgeEVm006551t1	11525	11369.5	0	0
